time,lhip,lknee,lankle,rhip,rknee,rankle
1.3199999999999998,-49.87914635298826,23.32317,8.165292097902121,3.988580262304892,10.708099999999998,-16.311256060606105
1.3499999999999999,-49.293778872292044,20.13337,8.66926505827508,6.087119134294121,10.1194,-16.34359731934736
1.38,-48.74176566400018,17.26227,8.763414801864826,8.369246496783523,9.412299999999998,-16.307468414918457
1.41,-47.7366346650953,14.543670000000002,8.426275081585104,10.547100184511043,8.731300000000001,-16.243187062937103
1.44,-47.11307654249612,12.043570000000004,7.360858438228458,12.61502019647933,8.157399999999999,-16.112640442890484
1.47,-46.83373451110975,10.07617,5.958771060606076,14.808283049917716,7.636499999999998,-15.905685198135238
1.5,-46.1167844257784,8.281770000000002,4.49227526806528,16.857552485912333,7.483899999999998,-15.705590093240133
1.53,-45.28075958796354,6.6907700000000006,3.252349545454554,18.316361641649628,7.715699999999998,-15.543635314685352
1.56,-44.97740248044605,5.638470000000002,2.2105927738927797,19.34638208746821,8.084599999999998,-15.412872610722651
1.5899999999999999,-45.02143012001978,5.241670000000001,1.173853298368301,20.33451353912133,8.526599999999998,-15.311129487179528
1.6199999999999999,-44.69722659224957,5.304270000000001,0.3262325268065272,21.517902558220715,9.093,-15.244066783216825
1.65,-44.26161979464885,5.844470000000001,-0.2617732634032648,22.60260310178028,9.7245,-15.207360722610762
1.68,-44.46724888402163,7.0211700000000015,-0.3683309324009339,23.38463072856929,10.330099999999998,-15.208490792540832
1.71,-44.966562341914646,8.588370000000001,0.1408151981351981,23.959033561063183,11.0539,-15.166798484848524
1.74,-45.176527486699975,10.17547,0.7379861305361319,24.591008826609485,11.9913,-14.95337867132871
1.77,-45.36347818352632,11.65167,1.5544107459207497,25.060838777240317,13.1008,-14.532753962704003
